Timestamp,Please enter your name.,On which criterion are you scoring candidates?,Please score each candidate based on your judgment of how well the candidate fits the criterion. [R1],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R2],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R3],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R4],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R5],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R6],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R7],Please score each candidate based on your judgment of how well the candidate fits the criterion. [R8],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m1],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m2],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m3],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m4],Please score each candidate based on your judgment of how well the candidate fits the criterion. [m5],(Optional) Use the space below to share any general comments on the ease or difficulty of applying this criterion given the information on candidates that was provided at this stage. 
2022/03/18 4:06:17 PM AST,William,"1. Near-term planning needs for problems with multi-decadal time horizons that permit the adoption of flexible approaches (H1, H3)",promising,middling,promising,middling,promising,middling,unpromising,unpromising,promising,unpromising,unpromising,promising,middling,"Where there were no or few details about potential decisions in a candidate locale, we could have scored this either as unpromising or unable to assess. We chose to score these as unpromising (based on information available so far). "
2022/03/19 11:18:26 PM AST,Richard,"2. Sensitivity to coastal flooding and other climate hazards, including the confluence of multiple hazards (H1)",unpromising,promising,unpromising,middling,unpromising,middling,unpromising,middling,middling,middling,middling,unpromising,unpromising,We selected the promising locations based on both the reports and our data (on hazard projection and past economic losses).
2022/03/20 8:02:37 PM AST,Joseph,5. Potential for analysis to address JEDI,promising,promising,middling,middling,promising,unpromising,promising,unpromising,promising,unpromising,unpromising,unpromising,unpromising,"Probably already mentioned, but for many of these regions, there are specific areas that are more promising than others in terms of JEDI. Additionally, for Human Dynamics group, locations with larger populations are preferable. "
2022/03/20 8:21:16 PM AST,Joseph,"4. Feedbacks among household decision making about adaptation, municipal finance, housing markets, and insurance markets (H2)",promising,promising,promising,middling,promising,unable to assess,promising,unable to assess,promising,unable to assess,unable to assess,unable to assess,unable to assess,It was difficult to discern the issues households were households would have control. 
2022/03/20 11:05:31 PM AST,Thomas,3. Sensitivity to changing landforms (H1),middling,unpromising,promising,middling,middling,promising,middling,promising,unpromising,promising,promising,promising,middling,"For river watersheds, my general principle is that areas that are less disturbed by human activities tend to have less soil erosion, sedimentary, and geomorphological problems. Areas like [R1] have been intensively shaped by cleanup and dredging work. A lot of wetlands there were built with dredged materials (stabilized by mixing with cement etc.. to keep the hazardous chemicals in place). Therefore the landform in the [R1] area are being actively shaped by human behavior. Barrier islands are naturally at the forefront of geomorphological changes, which will in turn greatly affects the the magnitude of storm surge and wave actions during hurricane events. The barrier islands in [m2] just went through an intense change due to hurricane sandy and rebuilding effort. "
2022/03/21 1:44:47 AM AST,Charles,"4. Feedbacks among household decision making about adaptation, municipal finance, housing markets, and insurance markets (H2)",unpromising,promising,middling,promising,middling,unpromising,promising,unpromising,middling,unpromising,unpromising,middling,unpromising,I found this criterion very difficult to judge. I am not feeling very confident about this. 
2022/03/21 2:01:19 AM AST,Charles,5. Potential for analysis to address JEDI,promising,promising,middling,middling,promising,unpromising,promising,unpromising,promising,unpromising,middling,unpromising,middling,
2022/03/21 11:03:59 AM AST,Christopher,3. Sensitivity to changing landforms (H1),middling,promising,middling,middling,promising,promising,promising,promising,middling,promising,promising,promising,middling,"From the point of view of landscape change, there is a benefit from considering different communities within the same geologic unit. The list of communities we have can be separated into 1) the [anonymized] system, 2) the [anonymized] estuarine system, and 3) ocean-facing communities. 

With this perspective in mind, if the number of communities that can be included is limited, I would choose between [anonymized] or [anonymized] estuarine systems, as opposed to having a few communities in each. In this way, we can have a more complete picture of the interplay between precipitation-driven flooding, storm tidal surges, and landscape changes at least for one estuarine system. Having said that, there are some communities that might be too far upstream (e.g., [m5]) to be affected by tides. If there is a need to trim down the number of communities within an estuarine system, I would start with those located furthest upstream.

The magnitude of plan-view landscape change associated with the estuarine systems of interest here is significantly lower than for ocean-facing communities. Instead of plan-view landscape changes, we could study bathymetric changes, which are more likely to be of importance over the time scales of interest. Changes in estuarine depth dynamically interact with water levels and the risk of flooding. Thus, one potential direction of my group is to develop a 1D modeling framework that dynamically accounts for changes in estuarine depth, sea level, upstream water discharge, tidal range, sediment supply, and dredging activities.  

Landscape changes in ocean-facing communities are generally larger in general and I, therefore, gave all of them a high score. 
"
2022/03/21 11:51:19 AM AST,Daniel,"4. Feedbacks among household decision making about adaptation, municipal finance, housing markets, and insurance markets (H2)",promising,unpromising,middling,middling,promising,unpromising,promising,unpromising,promising,unpromising,unpromising,promising,promising,"Demographic information was useful, some difficulty in assessing linkages between sectors and communities"
2022/03/21 11:55:30 AM AST,Daniel,5. Potential for analysis to address JEDI,promising,unable to assess,middling,middling,middling,unpromising,promising,unpromising,promising,unpromising,promising,promising,promising,"Very difficult to assess from information provided, medium degree of confident about responses"
2022/03/21 1:34:05 PM AST,Matthew,"2. Sensitivity to coastal flooding and other climate hazards, including the confluence of multiple hazards (H1)",promising,middling,promising,promising,unpromising,middling,middling,promising,middling,promising,promising,middling,unpromising,"From a hazards perspective there are not too large differences between many of the sites. The [anonymized] region as a whole is very promising, but probably a location in the [anonymized] part is most promising as it combines coastal, fluvial, and pluvial hazards with potential changes in tidal range (various forcing factors; has already happened in the past). The [R4] region looks particularly sensitive and has also a hydraulically interesting location at the outer side of a river bend (higher flow velocities and potential debris during flooding!?). The locations at the Barrier Islands at New Jersey's eastern shore are all similarly well suited (to the degree of my limited knowledge in the region); they experience full coastal hazards (large waves and surges), they are geomorphologically interesting, and are likely prone to pluvial flood risk as well. Fluvial flooding does not seem to be a big factor though, but maybe not as important for a CoPe project. From the sites in the larger New York/New Jersey region, [R3] sticks a bit out, as it combines coastal, fluvial and pluvial flood risk. I am sending my notes in a separate email just in case they might become helpful."
